@relation Activity

@attribute mean_thigh_x real
@attribute mean_thigh_y real
@attribute mean_thigh_z real
@attribute mean_chest_x real
@attribute mean_chest_y real
@attribute mean_chest_z real
@attribute min_thigh_x real
@attribute min_thigh_y real
@attribute min_thigh_z real
@attribute min_chest_x real
@attribute min_chest_y real
@attribute min_chest_z real
@attribute max_thigh_x real
@attribute max_thigh_y real
@attribute max_thigh_z real
@attribute max_chest_x real
@attribute max_chest_y real
@attribute max_chest_z real
@attribute median_thigh_x real
@attribute median_thigh_y real
@attribute median_thigh_z real
@attribute median_chest_x real
@attribute median_chest_y real
@attribute median_chest_z real
@attribute std_thigh_x real
@attribute std_thigh_y real
@attribute std_thigh_z real
@attribute std_chest_x real
@attribute std_chest_y real
@attribute std_chest_z real
@attribute energy_thigh real
@attribute energy_chest real
@attribute zero-crossing_thigh_x real
@attribute zero-crossing_thigh_y real
@attribute zero-crossing_thigh_z real
@attribute zero-crossing_chest_x real
@attribute zero-crossing_chest_y real
@attribute zero-crossing_chest_z real
@attribute correlation_thigh_xy real
@attribute correlation_thigh_xz real
@attribute correlation_thigh_yz real
@attribute correlation_chest_xy real
@attribute correlation_chest_xz real
@attribute correlation_chest_yz real
@attribute rms_thigh_x real
@attribute rms_thigh_y real
@attribute rms_thigh_z real
@attribute rms_chest_x real
@attribute rms_chest_y real
@attribute rms_chest_z real
@attribute act {1.0,2.0,3.0}

@data
-0.049844608,1.0090535,-0.0777217979,0.051221891,0.9985898,-0.0484054088,-0.44967,0.64256,-0.50326,-0.34375,0.68107,-0.6091,0.48564,1.3377,0.50276,0.47577,1.6775,0.52144,-0.054688,1.01045,-0.083735,0.0593045,0.99919,-0.0661695,0.16563853222,0.130640508934,0.179914830303,0.14957538268,0.13835892419,0.167721313287,0.0157935639909,0.0151123872568,0.000163548344891,0.0,0.000457935365694,0.000196258013869,0.0,0.000457935365694,0.240553402995,-0.421842220161,-0.0549715555318,0.109889640795,-0.27538266023,0.234423914949,0.00984743077192,0.0581870222062,0.0111615019847,0.00900171332755,0.0576518737527,0.00993769319889,1.0
-0.03695396,1.16062186,-0.1536423109,0.180019571,0.996237768,-0.1409260448,-2.0315,-0.21438,-1.9674,-0.68359,-0.42341,-1.8803,1.7673,3.0,1.2992,1.7908,2.7009,1.1328,-0.0612485,1.02465,-0.1149,0.0636405,0.99313,-0.087592,0.747353270442,0.740044665173,0.655267155872,0.583167037023,0.608292884302,0.594608689718,0.0710641615986,0.0592371943266,0.000196258013869,6.54193379563e-05,0.000392516027738,0.000196258013869,6.54193379563e-05,0.000327096689781,-0.731715087887,-0.383821806054,-0.251264812323,-0.480743026939,-0.495530609419,-0.430763052963,0.0425811343868,0.0786105407975,0.0383098049845,0.0347459519348,0.0666679954575,0.0347833074977,1.0
-0.00119862,1.400447635,0.063982736,0.21514587,1.304433736,-0.044418768,-2.109,-0.29505,-1.9674,-1.8016,-0.44815,-1.8822,1.9284,3.2969,1.9362,1.8929,3.4022,1.9648,-0.0801165,1.50435,0.091491,0.259545,1.20005,-0.0514494,1.18661181161,1.05850665969,1.20912944927,1.06170514556,1.12010140407,1.11875933385,0.114564442854,0.109467386314,0.000196258013869,0.000130838675913,0.000228967682847,0.000163548344891,0.000130838675913,0.000163548344891,-0.873590872812,-0.464298052866,0.0913973086295,-0.812006274784,-0.541829636639,0.0554898596019,0.0675249953052,0.100217047644,0.0689035802661,0.0616573347171,0.0981249743088,0.0637144343368,1.0
0.19562883,1.356323589,0.19309549,0.13599265,1.514664628,0.168856779,-2.109,-0.41194,-1.9509,-1.8016,-0.50825,-1.8822,1.9284,3.5263,1.9362,1.8929,3.632,1.9648,0.409785,1.3498,0.5496,0.2195,1.59915,0.366735,1.29667658533,1.25904069748,1.25475847924,1.20386473892,1.34028954024,1.24602156192,0.126379183755,0.125705911543,0.000163548344891,0.000163548344891,0.000130838675913,0.000163548344891,0.000130838675913,0.000163548344891,-0.945948668721,-0.409216587334,0.185555639678,-0.906944606354,-0.554086289549,0.235552386568,0.0746317029902,0.105596151929,0.0722518791083,0.0689468497203,0.11541840936,0.0715603519402,1.0
0.3853156,1.226630804,-0.01925847,0.34789111,1.31523576,0.140480877,-1.9692,-0.41194,-1.8582,-1.6316,-0.58578,-1.8131,1.9796,3.5263,1.4851,1.8984,3.632,1.7832,0.76852,0.901795,0.200575,0.621605,1.2024,0.469145,1.27619454454,1.38842794375,1.0532147529,1.12472942489,1.43061817375,1.11561826695,0.123306711606,0.121752163944,0.000130838675913,0.000163548344891,0.000163548344891,0.000163548344891,0.000163548344891,0.000130838675913,-0.965440155742,-0.243384388878,0.0982742354637,-0.924116123824,-0.423678377441,0.150998475931,0.0758926533018,0.105660139295,0.0599440292179,0.0670248269415,0.110841800254,0.0639914088724,1.0
0.35288527,1.239673979,-0.19692422,0.51095855,1.15548639,0.011075439,-1.9692,-0.35092,-1.8582,-1.656,-0.58578,-1.8131,1.9796,3.4775,1.6427,1.8984,3.6267,1.7013,0.78978,0.99636,-0.185675,0.90558,0.861975,0.15465,1.24045180648,1.31703223536,1.10956313049,1.11668484901,1.42147437837,1.08837089326,0.121622195592,0.120278397011,0.000130838675913,0.000163548344891,0.000163548344891,0.000130838675913,0.000163548344891,0.000163548344891,-0.955090136972,-0.354326983086,0.217094004381,-0.930659525918,-0.368695242424,0.12394780006,0.0734173030676,0.103168749473,0.0641370566498,0.0699431050748,0.10445293571,0.0619377326419,1.0
0.183858088,1.32790101,-0.15675021,0.439563989,1.163401438,-0.071189071,-1.9505,-0.28383,-1.7324,-1.656,-0.49396,-1.6823,1.8015,3.4383,1.6427,1.7669,3.5943,1.7013,0.407045,1.2642,-0.32902,0.82049,0.861975,-0.0501305,1.11933671649,1.190359318,1.06755170809,1.05421527454,1.33454920003,1.05634977151,0.112010635862,0.114261513142,0.000163548344891,0.000163548344891,0.000130838675913,0.000130838675913,0.000163548344891,0.000163548344891,-0.936977570114,-0.392610513959,0.234229908387,-0.911773693975,-0.486472593157,0.236992732586,0.0645587417385,0.101765567289,0.0614076825647,0.0650454165311,0.100968654376,0.0602500344119,1.0
-0.039827931,1.315851121,-0.002486779,0.172099475,1.213547448,-0.071895599,-1.7513,-0.071564,-1.352,-1.4624,-0.26255,-1.4601,1.6315,3.3822,1.3195,1.5922,3.4485,1.3567,-0.020815,1.18055,0.0498515,0.20198,1.11475,0.03778,0.791270611203,0.833767169114,0.659073362047,0.755727504647,0.927259364263,0.747302942063,0.0757553963869,0.0806035943482,0.000294387020803,6.54193379563e-05,0.000327096689781,0.000130838675913,9.81290069344e-05,0.000130838675913,-0.890066159488,-0.250030760792,0.0658880665499,-0.865736539378,-0.460485695591,0.199497856225,0.0450853767423,0.0889645648462,0.0375052922108,0.0441171946932,0.0871861811907,0.0427241167121,1.0
-0.089523776,1.0973567,-0.040318269,0.038982666,1.1390623,-0.06711282,-0.99253,-0.20198,-0.40958,-0.75959,0.36257,-0.97727,0.45047,2.3094,0.40778,0.57793,1.9581,0.28784,-0.0550325,1.0395,-0.0689745,0.0568185,1.0574,-0.0463495,0.279728617617,0.321421374014,0.146954801338,0.278459823944,0.291872043684,0.238378675787,0.0248118290214,0.0268218943651,0.000392516027738,6.54193379563e-05,0.000327096689781,0.000196258013869,0.0,0.000327096689781,-0.569922937824,0.106740735858,0.0842031005271,-0.653325718612,-0.0662020244006,-0.199213491078,0.01672132349,0.0653714091637,0.00867465491841,0.0160020240959,0.0672296296805,0.0140976900149,2.0
-0.046792347,0.9734804,-0.103226,0.06881552,1.0163159,-0.078706321,-0.16365,-0.20198,-0.37898,-0.1078,0.36257,-0.30035,0.15928,1.2943,0.228,0.33191,1.887,0.12364,-0.0573215,1.005,-0.092567,0.055398,0.99609,-0.0840435,0.0510482238515,0.182302154854,0.0672740600286,0.0672990900323,0.180083388373,0.0609635495898,0.00997058466093,0.0102266808046,0.000196258013869,6.54193379563e-05,6.54193379563e-05,0.000130838675913,0.0,0.000228967682847,-0.367515025966,-0.331047575236,-0.0229318648159,-0.303357598463,0.158837696034,0.162298829975,0.00394974716877,0.0566338975503,0.00703632289227,0.00549149534464,0.0590219617053,0.0056831125756,2.0
